,Tick,nombre,curr_id,smlID,header
81,DJUSIQ,dj-industrial-engineering,19988,2039825,Dow Jones Industrial Engineering Historical Data
82,DJUSIR,dj-insurance,19970,2039609,Dow Jones Insurance Historical Data
83,DJUSIS,dj-support-services,20001,2039981,Dow Jones Support Services Historical Data
84,DJUSIT,dj-industrial-transportation,19990,2039849,Dow Jones Industrial Transportation Historical Data
85,DJUSIU,dj-reinsurance,20088,2041025,Dow Jones Reinsurance Historical Data
86,DJUSIV,dj-business-support-services,20016,2040161,Dow Jones Business Support Services Historical Data
87,DJUSIX,dj-nonlife-insurance,19993,2039885,Dow Jones Nonlife Insurance Historical Data
88,DJUSLE,dj-leisure-goods,19991,2039861,Dow Jones Leisure Goods Historical Data
89,DJUSLG,dj-hotels,20054,2040617,Dow Jones Hotels Historical Data
90,DJUSLW,dj-low-cap,19951,2039381,Dow Jones Low-Cap Historical Data
91,DJUSM,dj-mid-cap,19949,2039357,Dow Jones Mid-Cap Historical Data
92,DJUSMC,dj-health-care-equip---services,19986,2039801,Dow Jones Health Care Equipment &amp; Services Historical Data
93,DJUSME,dj-media,19971,2039621,Dow Jones Media Historical Data
94,DJUSMF,dj-mortgage-finance,20070,2040809,Dow Jones Mortgage Finance Historical Data
95,DJUSMG,dj-mining,19992,2039873,Dow Jones Mining Historical Data
96,DJUSMR,dj-mortgage-reits,20071,2040821,Dow Jones Mortgage REITs Historical Data
97,DJUSMS,dj-medical-supplies,20068,2040785,Dow Jones Medical Supplies Historical Data
98,DJUSMT,dj-marine-transportation,20065,2040749,Dow Jones Marine Transportation Historical Data
99,DJUSMU,dj-multiutilities,20072,2040833,Dow Jones Multiutilities Historical Data
100,DJUSNC,dj-consumer-goods,19955,2039429,Dow Jones Consumer Goods Historical Data
101,DJUSNF,dj-nonferrous-metals,20074,2040857,Dow Jones Nonferrous Metals Historical Data
102,DJUSNG,dj-personal---household-goods,19973,2039645,Dow Jones Personal &amp; Household Goods Historical Data
103,DJUSNS,dj-internet,20061,2040701,Dow Jones Internet Historical Data
104,DJUSOE,dj-electronic-office-equipment,20038,2040425,DowJones Electronic Office Equipment Historical Data
105,DJUSOG,dj-oil---gas-producers,19994,2039897,Dow Jones Oil &amp; Gas Producers Historical Data
106,DJUSOI,dj-oil-equipment---services,20075,2040869,Dow Jones Oil Equipment &amp; Services Historical Data
107,DJUSOL,dj-integrated-oil---gas,20060,2040689,Dow Jones Integrated Oil &amp; Gas Historical Data
108,DJUSOQ,dj-oil-equipment;-services---dist,19995,2039909,Dow Jones Oil Equipment Services &amp; Distribution Historical Data
109,DJUSOS,dj-exploration---production,20039,2040437,Dow Jones Exploration &amp; Production Historical Data
110,DJUSPB,dj-publishing,20082,2040953,Dow Jones Publishing Historical Data
111,DJUSPC,dj-waste---disposal-services,20107,2041253,Dow Jones Waste &amp; Disposal Services Historical Data
112,DJUSPG,dj-personal-goods,19996,2039921,Dow Jones Personal Goods Historical Data
